Model,MDO34
Firmware Version,1.8.31

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,0
Sample Interval,0.002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
-5.040e-01,-0.01
-5.020e-01,0.01
-5.000e-01,0.01
-4.980e-01,0.03
-4.960e-01,0.01
-4.940e-01,0.01
-4.920e-01,-0.01
-4.900e-01,0.01
-4.880e-01,-0.01
-4.860e-01,0.01
-4.840e-01,0.01
-4.820e-01,0.01
-4.800e-01,0.01
-4.780e-01,-0.01
-4.760e-01,-0.01
-4.740e-01,0.01
-4.720e-01,-0.01
-4.700e-01,0.01
-4.680e-01,-0.01
-4.660e-01,0.01
-4.640e-01,0.01
-4.620e-01,-0.01
-4.600e-01,0.01
-4.580e-01,0.01
-4.560e-01,0.01
-4.540e-01,0.01
-4.520e-01,0.01
-4.500e-01,0.01
-4.480e-01,0.01
-4.460e-01,-0.01
-4.440e-01,0.01
-4.420e-01,0.01
-4.400e-01,0.01
-4.380e-01,0.01
-4.360e-01,0.01
-4.340e-01,0.01
-4.320e-01,0.01
-4.300e-01,0.01
-4.280e-01,0.01
-4.260e-01,0.01
-4.240e-01,0.01
-4.220e-01,0.01
-4.200e-01,-0.01
-4.180e-01,0.01
-4.160e-01,0.01
-4.140e-01,0.01
-4.120e-01,0.01
-4.100e-01,0.01
-4.080e-01,0.01
-4.060e-01,0.01
-4.040e-01,0.01
-4.020e-01,0.01
-4.000e-01,0.01
-3.980e-01,-0.01
-3.960e-01,0.01
-3.940e-01,0.01
-3.920e-01,0.01
-3.900e-01,0.01
-3.880e-01,-0.01
-3.860e-01,0.01
-3.840e-01,0.01
-3.820e-01,0.01
-3.800e-01,0.01
-3.780e-01,0.01
-3.760e-01,0.01
-3.740e-01,0.01
-3.720e-01,0.01
-3.700e-01,0.01
-3.680e-01,0.01
-3.660e-01,-0.01
-3.640e-01,0.01
-3.620e-01,0.01
-3.600e-01,0.01
-3.580e-01,0.03
-3.560e-01,0.01
-3.540e-01,0.01
-3.520e-01,0.01
-3.500e-01,0.01
-3.480e-01,0.03
-3.460e-01,0.03
-3.440e-01,0.01
-3.420e-01,0.01
-3.400e-01,0.01
-3.380e-01,0.01
-3.360e-01,0.01
-3.340e-01,0.01
-3.320e-01,0.01
-3.300e-01,0.01
-3.280e-01,0.01
-3.260e-01,0.01
-3.240e-01,0.01
-3.220e-01,0.01
-3.200e-01,0.01
-3.180e-01,0.01
-3.160e-01,0.01
-3.140e-01,0.01
-3.120e-01,0.01
-3.100e-01,0.01
-3.080e-01,-0.59
-3.060e-01,-0.85
-3.040e-01,-0.83
-3.020e-01,-0.67
-3.000e-01,-0.65
-2.980e-01,-0.57
-2.960e-01,-0.55
-2.940e-01,-0.49
-2.920e-01,-0.41
-2.900e-01,-0.39
-2.880e-01,-0.39
-2.860e-01,-0.31
-2.840e-01,-0.33
-2.820e-01,-0.25
-2.800e-01,-0.25
-2.780e-01,-0.25
-2.760e-01,-0.21
-2.740e-01,-0.23
-2.720e-01,-0.19
-2.700e-01,-0.21
-2.680e-01,-0.17
-2.660e-01,-0.21
-2.640e-01,-0.19
-2.620e-01,-0.19
-2.600e-01,-0.17
-2.580e-01,-0.17
-2.560e-01,-0.15
-2.540e-01,-0.21
-2.520e-01,-0.21
-2.500e-01,-0.23
-2.480e-01,-0.19
-2.460e-01,-0.23
-2.440e-01,-0.25
-2.420e-01,-0.25
-2.400e-01,-0.27
-2.380e-01,-0.27
-2.360e-01,-0.29
-2.340e-01,-0.27
-2.320e-01,-0.29
-2.300e-01,-0.27
-2.280e-01,-0.31
-2.260e-01,-0.27
-2.240e-01,-0.33
-2.220e-01,-0.31
-2.200e-01,-0.33
-2.180e-01,-0.27
-2.160e-01,-0.33
-2.140e-01,-0.23
-2.120e-01,-0.25
-2.100e-01,-0.17
-2.080e-01,-0.19
-2.060e-01,-0.13
-2.040e-01,-0.13
-2.020e-01,-0.17
-2.000e-01,-0.11
-1.980e-01,-0.11
-1.960e-01,-0.11
-1.940e-01,-0.09
-1.920e-01,-0.09
-1.900e-01,-0.05
-1.880e-01,-0.05
-1.860e-01,-0.03
-1.840e-01,0.01
-1.820e-01,-0.03
-1.800e-01,0.01
-1.780e-01,-0.01
-1.760e-01,0.01
-1.740e-01,0.01
-1.720e-01,0.01
-1.700e-01,0.03
-1.680e-01,0.03
-1.660e-01,0.03
-1.640e-01,0.03
-1.620e-01,0.03
-1.600e-01,0.03
-1.580e-01,0.01
-1.560e-01,0.05
-1.540e-01,0.09
-1.520e-01,0.05
-1.500e-01,0.05
-1.480e-01,0.07
-1.460e-01,0.07
-1.440e-01,0.05
-1.420e-01,0.03
-1.400e-01,0.05
-1.380e-01,0.03
-1.360e-01,0.03
-1.340e-01,0.05
-1.320e-01,0.05
-1.300e-01,0.03
-1.280e-01,0.03
-1.260e-01,0.05
-1.240e-01,0.03
-1.220e-01,0.01
-1.200e-01,0.01
-1.180e-01,0.01
-1.160e-01,0.03
-1.140e-01,-0.01
-1.120e-01,-0.01
-1.100e-01,0.01
-1.080e-01,0.01
-1.060e-01,0.01
-1.040e-01,0.01
-1.020e-01,0.01
-1.000e-01,-0.01
-9.800e-02,-0.01
-9.600e-02,-0.01
-9.400e-02,-0.03
-9.200e-02,-0.01
-9.000e-02,-0.01
-8.800e-02,-0.05
-8.600e-02,-0.01
-8.400e-02,-0.07
-8.200e-02,-0.03
-8.000e-02,-0.05
-7.800e-02,-0.05
-7.600e-02,-0.05
-7.400e-02,-0.05
-7.200e-02,-0.07
-7.000e-02,-0.09
-6.800e-02,-0.11
-6.600e-02,-0.05
-6.400e-02,-0.11
-6.200e-02,-0.05
-6.000e-02,-0.15
-5.800e-02,-0.13
-5.600e-02,-0.17
-5.400e-02,-0.17
-5.200e-02,-0.15
-5.000e-02,-0.19
-4.800e-02,-0.17
-4.600e-02,-0.21
-4.400e-02,-0.19
-4.200e-02,-0.25
-4.000e-02,-0.21
-3.800e-02,-0.25
-3.600e-02,-0.29
-3.400e-02,-0.27
-3.200e-02,-0.27
-3.000e-02,-0.31
-2.800e-02,-0.29
-2.600e-02,-0.31
-2.400e-02,-0.25
-2.200e-02,-0.31
-2.000e-02,-0.29
-1.800e-02,-0.29
-1.600e-02,-0.27
-1.400e-02,-0.23
-1.200e-02,-0.27
-1.000e-02,-0.27
-8.000e-03,-0.21
-6.000e-03,-0.23
-4.000e-03,-0.19
-2.000e-03,-0.21
1.000e-15,-0.27
2.000e-03,-0.21
4.000e-03,-0.21
6.000e-03,-0.19
8.000e-03,-0.19
1.000e-02,-0.17
1.200e-02,-0.21
1.400e-02,-0.27
1.600e-02,-0.19
1.800e-02,-0.23
2.000e-02,-0.13
2.200e-02,-0.13
2.400e-02,-0.13
2.600e-02,-0.07
2.800e-02,-0.09
3.000e-02,-0.05
3.200e-02,-0.05
3.400e-02,-0.05
3.600e-02,-0.01
3.800e-02,-0.05
4.000e-02,0.01
4.200e-02,-0.01
4.400e-02,-0.01
4.600e-02,-0.01
4.800e-02,0.03
5.000e-02,0.01
5.200e-02,0.07
5.400e-02,0.05
5.600e-02,0.09
5.800e-02,0.07
6.000e-02,0.13
6.200e-02,0.13
6.400e-02,0.17
6.600e-02,0.17
6.800e-02,0.17
7.000e-02,0.19
7.200e-02,0.23
7.400e-02,0.25
7.600e-02,0.21
7.800e-02,0.25
8.000e-02,0.23
8.200e-02,0.21
8.400e-02,0.23
8.600e-02,0.23
8.800e-02,0.23
9.000e-02,0.23
9.200e-02,0.21
9.400e-02,0.19
9.600e-02,0.21
9.800e-02,0.21
1.000e-01,0.21
1.020e-01,0.19
1.040e-01,0.15
1.060e-01,0.13
1.080e-01,0.11
1.100e-01,0.15
1.120e-01,0.09
1.140e-01,0.11
1.160e-01,0.03
1.180e-01,0.05
1.200e-01,0.01
1.220e-01,0.01
1.240e-01,0.05
1.260e-01,0.01
1.280e-01,0.03
1.300e-01,0.01
1.320e-01,0.01
1.340e-01,0.03
1.360e-01,0.01
1.380e-01,0.01
1.400e-01,0.01
1.420e-01,0.01
1.440e-01,0.01
1.460e-01,0.01
1.480e-01,0.01
1.500e-01,0.01
1.520e-01,0.01
1.540e-01,0.07
1.560e-01,0.03
1.580e-01,0.07
1.600e-01,0.07
1.620e-01,0.09
1.640e-01,0.09
1.660e-01,0.07
1.680e-01,0.05
1.700e-01,0.07
1.720e-01,0.11
1.740e-01,0.11
1.760e-01,0.11
1.780e-01,0.11
1.800e-01,0.11
1.820e-01,0.15
1.840e-01,0.11
1.860e-01,0.11
1.880e-01,0.09
1.900e-01,0.09
1.920e-01,0.09
1.940e-01,0.11
1.960e-01,0.09
1.980e-01,0.07
2.000e-01,0.09
2.020e-01,0.09
2.040e-01,0.11
2.060e-01,0.07
2.080e-01,0.07
2.100e-01,0.05
2.120e-01,0.05
2.140e-01,0.05
2.160e-01,0.05
2.180e-01,0.05
2.200e-01,0.03
2.220e-01,0.05
2.240e-01,0.01
2.260e-01,0.03
2.280e-01,0.03
2.300e-01,0.05
2.320e-01,0.01
2.340e-01,0.03
2.360e-01,0.01
2.380e-01,0.01
2.400e-01,0.01
2.420e-01,0.01
2.440e-01,0.01
2.460e-01,0.01
2.480e-01,0.01
2.500e-01,0.03
2.520e-01,0.01
2.540e-01,0.01
2.560e-01,0.05
2.580e-01,0.01
2.600e-01,0.07
2.620e-01,0.01
2.640e-01,0.07
2.660e-01,0.01
2.680e-01,0.05
2.700e-01,0.01
2.720e-01,-0.01
2.740e-01,0.01
2.760e-01,-0.05
2.780e-01,0.01
2.800e-01,0.01
2.820e-01,0.01
2.840e-01,-0.01
2.860e-01,-0.01
